Bus,Type,Nitte,Udupi
Vishal,Express,07:30,08:34
Reshma,Hybrid,07:42,08:46
Navadurga Prasad,Express,08:12,09:16
Srilaxmi,Local,08:23,09:27
Kusuma,Express,08:39,09:43
Milan,Local,08:58,10:02
Vishal,Express,09:12,10:16
Mercy,Local,09:27,10:31
Navadurga Prasad,Express,09:48,10:52
Keerthi,Local,10:12,11:16
Navadurga Prasad,Express,10:27,11:31
Sangam,Local,10:41,11:45
Laxmi Ganesh,Express,10:59,12:03
Padmambikaa,Express,11:12,12:16
Vishal,Express,11:27,12:31
Shahil,Local,11:41,12:45
Vishal,Express,11:55,12:59
Vishal,Express,12:10,13:14
Christa Jyothi,Local,12:26,13:30
Vishal,Express,12:39,13:43
Navadurga Prasad,Express,12:56,14:00
Sangam,Local,13:09,14:13
Bharathi,Express,13:24,14:28
Bharathi,Express,13:48,14:52
Navadurga Prasad,Express,14:02,15:06
Vishal,Express,14:18,15:22
Milan,Local,14:34,15:38
Sangam,Local,14:56,16:00
Laxmi Ganesh,Express,15:14,16:18
Reshma,Express,15:34,16:38
Christa Jyothi,Local,15:56,17:00
Padmambikaa,Express,16:24,17:28
Pranam,Local,16:42,17:46
Sangam,Local,17:10,18:14
Rashmi Travels,Local,17:34,18:38
,,,
,,,
,,,
,,,
