Bus,Type,Karkala,Udupi
Vishal,Express,07:30,08:25
Reshma,Hybrid,07:32,08:27
Navadurga Prasad,Express,07:35,08:30
Srilaxmi,Local,07:51,08:46
Kusuma,Express,08:03,08:58
Milan,Local,08:08,09:03
Vishal,Express,08:10,09:05
Mercy,Local,08:22,09:17
Navadurga Prasad,Express,08:36,09:31
Keerthi,Local,08:37,09:32
Navadurga Prasad,Express,08:41,09:36
Sangam,Local,09:17,10:12
Laxmi Ganesh,Express,09:20,10:15
Padmambikaa,Express,10:17,11:12
Vishal,Express,11:33,12:28
Shahil,Local,12:03,12:58
Vishal,Express,12:05,13:00
Vishal,Express,12:11,13:06
Christa Jyothi,Local,12:11,13:06
Vishal,Express,12:16,13:11
Navadurga Prasad,Express,12:24,13:19
Sangam,Local,12:43,13:38
Bharathi,Express,12:44,13:39
Bharathi,Express,12:50,13:4
Navadurga Prasad,Express,12:52,13:47
Vishal,Express,01:03,01:58
Milan,Local,01:10,02:05
Sangam,Local,01:16,02:11
Laxmi Ganesh,Express,01:23,02:18
Reshma,Express,01:35,02:30
Christa Jyothi,Local,01:43,02:38
Padmambikaa,Express,01:47,02:42
Pranam,Local,02:06,03:01
Sangam,Local,02:15,03:10
Rashmi Travels,Local,02:25,03:20
Naveen,Local,02:36,03:31
Padmambikaa,Express,02:51,03:46
Christa Kiran,Express,02:54,03:49
Naveen,Local,03:06,04:01
Padmambikaa,Express,03:09,04:04
Vishal,Express,03:24,04:19
Ayra,Express,03:28,04:23
Sangam,Local,03:40,04:35
Vishal,Express,03:43,04:38
Shree Annapoorneshwari,Express,03:55,04:50
Mercy,Express,04:08,05:03
Navadurga Prasad,Express,04:12,05:07
Kanthi,Local,04:21,05:16
Vishal,Express,04:26,05:21
Vishal,Express,04:40,05:35
Sangam,Local,04:44,05:39
Vishal,Express,04:46,05:41
Vishal,Express,04:59,05:54
Pranam,Local,05:07,06:02
